SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime,Temp_Diff,Humidity_Diff
51066-899,24.3,59.0,261,74.6,49.3526,8.1646,111.5,0.0,0,7,-3678.773245549928,-15501.819509621215,-2202.446600823503,-2121.771440159687,-1596.4042423656845,1708.3134650871316,-2634.093276452806,-19529.04983509217,378,3,2,0,2025-07-25 16:11:06,2025-07-25 14:11:06,-0.48417608566329307,1.907792980368825
51068-899,24.3,59.0,261,74.5,49.3526,8.1646,111.5,0.2,0,7,-3660.9151229987147,-15501.819509621215,-2202.446600823503,-2128.1816257795044,-1603.000954110997,1703.4603018340429,-2634.093276452806,-19529.04983509217,378,4,3,1,2025-07-25 16:11:08,2025-07-25 14:11:08,-0.48417608566329307,1.907792980368825
51070-944,24.3,59.0,261,74.5,49.3526,8.1645,111.8,1.2,0,7,-3678.773245549928,-15634.88233802998,-2202.446600823503,-2128.1816257795044,-1603.000954110997,1713.1666283402199,-2634.093276452806,-19529.04983509217,377,4,4,0,2025-07-25 16:11:10,2025-07-25 14:11:11,-0.48417608566329307,1.907792980368825
51072-900,24.3,59.0,261,74.5,49.3526,8.1645,111.4,1.1,0,7,-3660.9151229987147,-15435.288095416834,-2202.446600823503,-2121.771440159687,-1596.4042423656845,1703.4603018340429,-2634.093276452806,-19483.52757440431,377,3,2,0,2025-07-25 16:11:12,2025-07-25 14:11:13,-0.48417608566329307,1.907792980368825
51074-900,24.3,59.0,260,74.6,49.3526,8.1645,111.0,1.0,0,7,-3660.9151229987147,-15368.75668121245,-2202.446600823503,-2115.361254539869,-1589.8075306203718,1698.6071385809546,-2626.1111756150704,-19483.52757440431,377,2,2,0,2025-07-25 16:11:14,2025-07-25 14:11:14,-0.48417608566329307,1.907792980368825
51076-950,24.3,59.0,261,74.5,49.3526,8.1645,110.9,1.3,0,7,-3660.9151229987147,-15501.819509621215,-2202.446600823503,-2115.361254539869,-1589.8075306203718,1703.4603018340429,-2626.1111756150704,-19438.005313716447,377,3,3,0,2025-07-25 16:11:16,2025-07-25 14:11:16,-0.48417608566329307,1.907792980368825
51078-319,24.3,59.0,261,74.5,49.3526,8.1645,110.9,1.1,0,7,-3643.057000447501,-15501.819509621215,-2202.446600823503,-2121.771440159687,-1596.4042423656845,1708.3134650871316,-2634.093276452806,-19483.52757440431,377,3,2,0,2025-07-25 16:11:18,2025-07-25 14:11:19,-0.48417608566329307,1.907792980368825
51080-261,24.3,59.0,262,74.5,49.3526,8.1645,110.7,2.0,0,7,-3625.198877896288,-15501.819509621215,-2202.446600823503,-2115.361254539869,-1596.4042423656845,1708.3134650871316,-2626.1111756150704,-19438.005313716447,376,2,2,0,2025-07-25 16:11:20,2025-07-25 14:11:21,-0.48417608566329307,1.907792980368825
51082-293,24.3,59.0,262,74.5,49.3526,8.1645,110.7,0.6,0,7,-3643.057000447501,-15435.288095416834,-2202.446600823503,-2121.771440159687,-1596.4042423656845,1708.3134650871316,-2634.093276452806,-19483.52757440431,377,3,2,0,2025-07-25 16:11:22,2025-07-25 14:11:23,-0.48417608566329307,1.907792980368825
51084-290,24.3,59.0,261,74.4,49.3526,8.1645,112.0,0.7,0,8,-3643.057000447501,-15501.819509621215,-2196.770192058494,-2121.771440159687,-1589.8075306203718,1708.3134650871316,-2634.093276452806,-19483.52757440431,377,2,2,0,2025-07-25 16:11:24,2025-07-25 14:11:25,-0.48417608566329307,1.907792980368825
51086-572,24.3,59.0,261,74.5,49.3526,8.1646,113.8,0.7,0,8,-3643.057000447501,-15501.819509621215,-2208.1230095885126,-2121.771440159687,-1596.4042423656845,1703.4603018340429,-2634.093276452806,-19483.52757440431,377,2,2,0,2025-07-25 16:11:26,2025-07-25 14:11:28,-0.48417608566329307,1.907792980368825
51088-563,24.4,59.0,262,74.4,49.3526,8.1646,114.9,1.0,0,8,-2970.818362136193,-12572.256052725494,-1836.1473309554917,-1783.0618212860647,-1333.9257236072592,1415.2292159781841,-2194.9989707165014,-15718.400269257982,376,2,2,0,2025-07-25 16:11:28,2025-07-25 14:11:29,-0.3841760856632952,1.907792980368825
51091-592,24.4,59.0,262,74.4,49.3526,8.1646,115.9,0.3,0,8,-2956.3265652477244,-12572.256052725494,-1836.1473309554917,-1777.6749275661673,-1333.9257236072592,1415.2292159781841,-2188.3474586840275,-15718.400269257982,376,2,2,0,2025-07-25 16:11:31,2025-07-25 14:11:31,-0.3841760856632952,1.907792980368825
51093-644,24.4,59.0,263,74.3,49.3526,8.1646,116.4,0.5,0,8,-2956.3265652477244,-12572.256052725494,-1836.1473309554917,-1783.0618212860647,-1328.413633840287,1415.2292159781841,-2188.3474586840275,-15755.211511106361,375,2,2,0,2025-07-25 16:11:33,2025-07-25 14:11:33,-0.3841760856632952,1.907792980368825
51096-716,24.4,59.0,261,74.4,49.3526,8.1646,117.4,0.2,0,8,-2956.3265652477244,-12518.297872241694,-1840.8918977021467,-1783.0618212860647,-1328.413633840287,1415.2292159781841,-2188.3474586840275,-15718.400269257982,376,3,2,0,2025-07-25 16:11:36,2025-07-25 14:11:36,-0.3841760856632952,1.907792980368825
51098-767,24.4,59.0,263,74.3,49.3526,8.1646,118.0,1.2,0,8,-2941.8347683592547,-12626.214233209295,-1840.8918977021467,-1783.0618212860647,-1328.413633840287,1415.2292159781841,-2194.9989707165014,-15718.400269257982,376,3,3,0,2025-07-25 16:11:38,2025-07-25 14:11:38,-0.3841760856632952,1.907792980368825
51100-941,24.4,59.0,262,74.4,49.3526,8.1646,118.9,1.6,0,8,-2956.3265652477244,-12572.256052725494,-1845.6364644488017,-1777.6749275661673,-1333.9257236072592,1415.2292159781841,-2194.9989707165014,-15755.211511106361,376,2,2,0,2025-07-25 16:11:40,2025-07-25 14:11:39,-0.3841760856632952,1.907792980368825
51102-896,24.4,59.0,262,74.4,49.3526,8.1646,119.4,1.2,0,8,-2956.3265652477244,-12572.256052725494,-1840.8918977021467,-1777.6749275661673,-1333.9257236072592,1415.2292159781841,-2194.9989707165014,-15718.400269257982,376,2,2,0,2025-07-25 16:11:42,2025-07-25 14:11:41,-0.3841760856632952,1.907792980368825
51104-172,24.4,59.0,263,74.2,49.3526,8.1646,119.8,1.7,0,8,-2956.3265652477244,-12572.256052725494,-1840.8918977021467,-1783.0618212860647,-1333.9257236072592,1415.2292159781841,-2194.9989707165014,-15755.211511106361,376,3,3,0,2025-07-25 16:11:44,2025-07-25 14:11:44,-0.3841760856632952,1.907792980368825
51106-172,24.4,59.0,265,74.2,49.3526,8.1646,120.9,1.0,0,8,-2956.3265652477244,-12518.297872241694,-1845.6364644488017,-1783.0618212860647,-1328.413633840287,1415.2292159781841,-2188.3474586840275,-15792.022752954741,377,3,2,0,2025-07-25 16:11:46,2025-07-25 14:11:46,-0.3841760856632952,1.907792980368825
51108-242,24.4,59.0,263,74.3,49.3526,8.1646,121.3,1.4,0,8,-2956.3265652477244,-12626.214233209295,-1845.6364644488017,-1777.6749275661673,-1333.9257236072592,1415.2292159781841,-2188.3474586840275,-15718.400269257982,376,2,3,0,2025-07-25 16:11:48,2025-07-25 14:11:48,-0.3841760856632952,1.907792980368825
51110-290,24.4,59.0,265,74.3,49.3526,8.1646,121.4,0.9,0,8,-2970.818362136193,-12626.214233209295,-1840.8918977021467,-1788.4487150059622,-1333.9257236072592,1415.2292159781841,-2188.3474586840275,-15828.83399480312,377,2,2,0,2025-07-25 16:11:50,2025-07-25 14:11:50,-0.3841760856632952,1.907792980368825
51112-520,24.4,59.0,262,74.3,49.3526,8.1646,121.7,1.0,0,8,-2956.3265652477244,-12626.214233209295,-1845.6364644488017,-1793.8356087258596,-1339.4378133742314,1419.2497535235766,-2201.650482748976,-15755.211511106361,377,2,2,1,2025-07-25 16:11:52,2025-07-25 14:11:53,-0.3841760856632952,1.907792980368825
51114-525,24.4,59.0,263,74.3,49.3526,8.1646,121.6,0.4,0,8,-2970.818362136193,-12626.214233209295,-1850.381031195457,-1793.8356087258596,-1333.9257236072592,1411.2086784327914,-2201.650482748976,-15828.83399480312,379,2,2,0,2025-07-25 16:11:54,2025-07-25 14:11:55,-0.3841760856632952,1.907792980368825
51116-538,24.4,59.0,264,74.3,49.3526,8.1646,121.6,0.5,0,8,-2970.818362136193,-12626.214233209295,-1845.6364644488017,-1793.8356087258596,-1339.4378133742314,1415.2292159781841,-2201.650482748976,-15792.022752954741,378,2,2,0,2025-07-25 16:11:56,2025-07-25 14:11:56,-0.3841760856632952,1.907792980368825
51119-588,24.4,59.0,264,74.3,49.3526,8.1646,122.0,0.4,0,8,-2970.818362136193,-12949.963316112096,-1850.381031195457,-1793.8356087258596,-1339.4378133742314,1431.3113661597542,-2208.30199478145,-15792.022752954741,379,4,3,0,2025-07-25 16:11:59,2025-07-25 14:11:58,-0.3841760856632952,1.907792980368825
51121-657,24.4,59.0,264,74.3,49.3526,8.1646,122.2,0.2,0,8,-2970.818362136193,-12949.963316112096,-1855.1255979421117,-1788.4487150059622,-1344.9499031412035,1431.3113661597542,-2214.953506813925,-15828.83399480312,379,4,4,0,2025-07-25 16:12:01,2025-07-25 14:12:01,-0.3841760856632952,1.907792980368825
51123-707,24.4,59.0,263,74.3,49.3526,8.1646,122.2,0.3,0,8,-2985.3101590246624,-12949.963316112096,-1845.6364644488017,-1793.8356087258596,-1339.4378133742314,1431.3113661597542,-2208.30199478145,-15865.645236651497,379,3,2,1,2025-07-25 16:12:03,2025-07-25 14:12:02,-0.3841760856632952,1.907792980368825
51124-069,24.4,59.0,263,74.3,49.3526,8.1646,122.5,0.7,0,8,-2985.3101590246624,-12896.005135628295,-1855.1255979421117,-1793.8356087258596,-1344.9499031412035,1423.270291068969,-2201.650482748976,-15828.83399480312,378,3,2,0,2025-07-25 16:12:04,2025-07-25 14:12:04,-0.3841760856632952,1.907792980368825
51126-922,24.4,59.0,263,74.3,49.3526,8.1646,122.6,0.7,0,8,-2985.3101590246624,-12734.130594176893,-1850.381031195457,-1793.8356087258596,-1339.4378133742314,1411.2086784327914,-2201.650482748976,-15792.022752954741,378,2,2,0,2025-07-25 16:12:06,2025-07-25 14:12:06,-0.3841760856632952,1.907792980368825
51128-111,24.4,59.0,264,74.2,49.3526,8.1646,123.4,0.7,0,7,-2985.3101590246624,-13003.921496595896,-1855.1255979421117,-1799.222502445757,-1344.9499031412035,1427.2908286143615,-2208.30199478145,-15828.83399480312,380,6,4,0,2025-07-25 16:12:08,2025-07-25 14:12:09,-0.3841760856632952,1.907792980368825
51130-110,24.4,59.0,264,74.2,49.3526,8.1646,123.6,1.9,0,7,-2985.3101590246624,-12680.172413693095,-1850.381031195457,-1793.8356087258596,-1333.9257236072592,1415.2292159781841,-2208.30199478145,-15828.83399480312,379,3,2,0,2025-07-25 16:12:10,2025-07-25 14:12:11,-0.3841760856632952,1.907792980368825
51132-181,24.4,59.0,264,74.2,49.3526,8.1646,123.5,1.0,0,7,-2970.818362136193,-12680.172413693095,-1855.1255979421117,-1799.222502445757,-1333.9257236072592,1415.2292159781841,-2201.650482748976,-15865.645236651497,379,2,2,0,2025-07-25 16:12:12,2025-07-25 14:12:13,-0.3841760856632952,1.907792980368825
51134-321,24.4,59.0,264,74.2,49.3526,8.1646,123.5,0.8,0,8,-2985.3101590246624,-12788.088774660695,-1850.381031195457,-1793.8356087258596,-1344.9499031412035,1419.2497535235766,-2208.30199478145,-15828.83399480312,379,3,4,0,2025-07-25 16:12:14,2025-07-25 14:12:15,-0.3841760856632952,1.907792980368825
51136-462,24.4,59.0,265,74.2,49.3526,8.1646,123.5,0.3,0,8,-2985.3101590246624,-12949.963316112096,-1855.1255979421117,-1793.8356087258596,-1350.4619929081757,1427.2908286143615,-2208.30199478145,-15865.645236651497,379,3,3,0,2025-07-25 16:12:16,2025-07-25 14:12:18,-0.3841760856632952,1.907792980368825
51138-468,24.4,59.0,263,74.2,49.3526,8.1646,123.6,0.2,0,8,-2985.3101590246624,-12949.963316112096,-1850.381031195457,-1793.8356087258596,-1339.4378133742314,1423.270291068969,-2208.30199478145,-15828.83399480312,379,2,2,0,2025-07-25 16:12:18,2025-07-25 14:12:20,-0.3841760856632952,1.907792980368825
51140-484,24.4,58.0,263,74.4,49.3526,8.1646,123.8,0.8,0,8,-416.90857726752233,-4940.982124690126,-47.688183564465014,-207.62525171271065,-115.91688284370272,1585.0526749240757,-299.0087584947306,-5051.93803823529,379,2,2,0,2025-07-25 16:12:20,2025-07-25 14:12:21,-0.3841760856632952,0.9077929803688249
51142-534,24.4,58.0,263,74.3,49.3526,8.1646,124.1,1.4,0,8,-416.90857726752233,-4961.655690065399,-47.81046095822005,-207.62525171271065,-115.91688284370272,1589.5302248532398,-299.9093872853774,-5075.43542445964,380,5,2,0,2025-07-25 16:12:22,2025-07-25 14:12:23,-0.3841760856632952,0.9077929803688249
51144-692,24.5,58.0,263,74.2,49.3526,8.1646,124.3,1.2,0,8,-318.51042179180365,-3837.2125141961724,-38.4203946325319,-168.68991221629497,-92.72615886387386,1260.3494341181458,-238.47366791477413,-3865.4149996932338,380,4,3,0,2025-07-25 16:12:24,2025-07-25 14:12:26,-0.2841760856632938,0.9077929803688249
51146-654,24.5,58.0,263,74.3,49.3526,8.1646,124.2,1.6,0,8,-320.06413116639783,-3773.7875139615253,-38.4203946325319,-168.18485259888092,-93.10774799500092,1249.6985938298237,-239.19413216829307,-3865.4149996932338,379,2,2,0,2025-07-25 16:12:26,2025-07-25 14:12:27,-0.2841760856632938,0.9077929803688249
51148-829,24.5,58.0,262,74.3,49.3526,8.1646,123.9,0.9,0,8,-320.06413116639783,-3742.0750138442017,-38.32213275367633,-168.18485259888092,-92.72615886387386,1242.5980336376088,-239.19413216829307,-3856.4465194155237,379,2,2,0,2025-07-25 16:12:28,2025-07-25 14:12:29,-0.2841760856632938,0.9077929803688249
51151-836,24.5,58.0,263,74.3,49.3526,8.1646,123.9,0.9,0,8,-320.06413116639783,-3726.21876378554,-38.32213275367633,-168.18485259888092,-92.72615886387386,1246.1483137337161,-239.19413216829307,-3865.4149996932338,380,3,2,0,2025-07-25 16:12:31,2025-07-25 14:12:32,-0.2841760856632938,0.9077929803688249
51153-059,24.5,58.0,264,74.2,49.3526,8.1646,123.6,0.9,0,38,-318.51042179180365,-3757.931263902863,-38.4203946325319,-168.18485259888092,-93.10774799500092,1253.248873925931,-238.47366791477413,-3856.4465194155237,379,6,4,0,2025-07-25 16:12:33,2025-07-25 14:12:34,-0.2841760856632938,0.9077929803688249
51155-146,24.5,58.0,263,74.3,49.3526,8.1646,123.7,0.3,0,8,-320.06413116639783,-3837.2125141961724,-38.51865651138749,-168.18485259888092,-93.10774799500092,1263.8997142142534,-239.91459642181204,-3865.4149996932338,381,3,2,0,2025-07-25 16:12:35,2025-07-25 14:12:36,-0.2841760856632938,0.9077929803688249
51157-127,24.5,58.0,263,74.3,49.3526,8.1646,123.3,0.1,0,8,-321.617840540992,-3773.7875139615253,-38.4203946325319,-168.68991221629497,-93.10774799500092,1253.248873925931,-239.19413216829307,-3874.3834799709443,380,3,4,0,2025-07-25 16:12:37,2025-07-25 14:12:38,-0.2841760856632938,0.9077929803688249
51159-176,24.5,58.0,264,74.3,49.3526,8.1646,122.8,0.6,0,8,-321.617840540992,-3789.643764020187,-38.4203946325319,-168.68991221629497,-93.10774799500092,1256.7991540220385,-239.91459642181204,-3874.3834799709443,380,2,2,0,2025-07-25 16:12:39,2025-07-25 14:12:40,-0.2841760856632938,0.9077929803688249
51161-404,24.5,58.0,262,74.3,49.3526,8.1646,122.3,0.5,0,8,-320.06413116639783,-3773.7875139615253,-38.32213275367633,-168.68991221629497,-93.10774799500092,1253.248873925931,-239.19413216829307,-3865.4149996932338,379,3,3,0,2025-07-25 16:12:41,2025-07-25 14:12:43,-0.2841760856632938,0.9077929803688249
