GPS_Lat|GPS_Lon|Street
49,3355|8,2076|
49,3355|8,168|
49,3355|8,1657|
49,3355|8,2254|
49,3356|8,1657|
49,3356|8,168|
49,3356|8,1656|
49,3356|8,2181|
49,3356|8,2205|
49,3356|8,2157|
49,3356|8,2077|
49,3356|8,1681|
49,3357|8,168|
49,3357|8,1654|
49,3357|8,2178|
49,3357|8,2205|
49,3357|8,2206|
49,3357|8,2254|
49,3357|8,2158|
49,3357|8,2078|
49,3357|8,1655|
49,3357|8,1681|
49,3358|8,168|
49,3358|8,2176|
49,3358|8,2207|
49,3358|8,2255|
49,3358|8,216|
49,3358|8,1653|
49,3358|8,1654|
49,3358|8,1681|
49,3359|8,1681|
49,3359|8,1652|
49,3359|8,2174|
49,3359|8,2208|
49,3359|8,2209|
49,3359|8,2079|
49,3359|8,168|
49,3359|8,1651|
49,336|8,221|
49,336|8,2255|
49,336|8,165|
49,336|8,1681|
49,336|8,1649|
49,336|8,208|
49,336|8,2161|
49,3361|8,1681|
49,3361|8,1649|
49,3361|8,2171|
49,3361|8,2211|
49,3361|8,221|
49,3361|8,2163|
49,3361|8,2081|
49,3361|8,1648|
49,3362|8,1681|
49,3362|8,1646|
49,3362|8,2169|
49,3362|8,2212|
49,3362|8,2211|
49,3362|8,2255|
49,3362|8,2164|
49,3362|8,2082|
49,3362|8,1647|
49,3362|8,1682|
49,3363|8,1645|
49,3363|8,1681|
49,3363|8,1646|
49,3363|8,2166|
49,3363|8,2214|
49,3363|8,2213|
49,3363|8,2165|
49,3363|8,2083|
49,3363|8,1682|
49,3364|8,1682|
49,3364|8,1643|
49,3364|8,2164|
49,3364|8,2214|
49,3364|8,2255|
49,3364|8,2084|
49,3364|8,1644|
49,3364|8,1681|
49,3365|8,1642|
49,3365|8,1682|
49,3365|8,2213|
49,3365|8,2214|
49,3365|8,2216|
49,3365|8,2163|
49,3365|8,2085|
49,3365|8,1643|
49,3365|8,1641|
49,3365|8,2162|
49,3366|8,164|
49,3366|8,2212|
49,3366|8,2255|
49,3366|8,2217|
49,3366|8,2161|
49,3366|8,2159|
49,3366|8,2104|
49,3366|8,2102|
49,3366|8,2099|
49,3366|8,2097|
49,3366|8,2094|
49,3366|8,2086|
49,3366|8,1683|
49,3366|8,1682|
49,3366|8,1639|
49,3366|8,1641|
49,3366|8,2096|
49,3367|8,1638|
49,3367|8,1681|
49,3367|8,1902|
49,3367|8,1906|
49,3367|8,1911|
49,3367|8,216|
49,3367|8,221|
49,3367|8,2158|
49,3367|8,211|
49,3367|8,2107|
49,3367|8,2092|
49,3367|8,2087|
49,3367|8,1684|
49,3367|8,164|
49,3367|8,209|
49,3368|8,1681|
49,3368|8,1637|
49,3368|8,1892|
49,3368|8,1897|
49,3368|8,1918|
49,3368|8,1923|
49,3368|8,2158|
49,3368|8,2207|
49,3368|8,2209|
49,3368|8,2255|
49,3368|8,2219|
49,3368|8,2156|
49,3368|8,2118|
49,3368|8,2115|
49,3368|8,2113|
49,3368|8,2089|
49,3368|8,1684|
49,3368|8,1636|
49,3368|8,1635|
49,3368|8,2087|
49,3368|8,1887|
49,3369|8,1681|
49,3369|8,1634|
49,3369|8,1682|
49,3369|8,1874|
49,3369|8,1878|
49,3369|8,1883|
49,3369|8,1927|
49,3369|8,1932|
49,3369|8,2156|
49,3369|8,2205|
49,3369|8,2203|
49,3369|8,2221|
49,3369|8,2154|
49,3369|8,2126|
49,3369|8,2121|
49,3369|8,1684|
49,3369|8,1636|
49,3369|8,1635|
49,3369|8,2204|
49,337|8,1683|
49,337|8,1865|
49,337|8,1869|
49,337|8,1936|
49,337|8,2154|
49,337|8,2204|
49,337|8,22|
49,337|8,2201|
49,337|8,2255|
49,337|8,2153|
49,337|8,2134|
49,337|8,2131|
49,337|8,2128|
49,337|8,1682|
49,337|8,1633|
49,337|8,1632|
49,3371|8,1683|
49,3371|8,1631|
49,3371|8,1941|
49,3371|8,2152|
49,3371|8,2202|
49,3371|8,2199|
49,3371|8,2222|
49,3371|8,2142|
49,3371|8,214|
49,3371|8,2137|
49,3371|8,163|
49,3371|8,1684|
49,3371|8,186|
49,3372|8,1629|
49,3372|8,163|
49,3372|8,1854|
49,3372|8,1945|
49,3372|8,2151|
49,3372|8,2201|
49,3372|8,2199|
49,3372|8,2198|
49,3372|8,2255|
49,3372|8,2224|
49,3372|8,215|
49,3372|8,2148|
49,3372|8,2146|
49,3372|8,2144|
49,3372|8,1683|
49,3372|8,1628|
49,3372|8,1684|
49,3373|8,1684|
49,3373|8,1626|
49,3373|8,195|
49,3373|8,1954|
49,3373|8,215|
49,3373|8,2226|
49,3373|8,1627|
49,3373|8,1628|
49,3374|8,1624|
49,3374|8,1849|
49,3374|8,1959|
49,3374|8,2008|
49,3374|8,2011|
49,3374|8,2255|
49,3374|8,1684|
49,3374|8,1625|
49,3374|8,2228|
49,3375|8,1685|
49,3375|8,1623|
49,3375|8,1845|
49,3375|8,1963|
49,3375|8,1967|
49,3375|8,2001|
49,3375|8,2003|
49,3375|8,2006|
49,3375|8,2012|
49,3375|8,2231|
49,3375|8,1684|
49,3375|8,1621|
49,3375|8,1622|
49,3375|8,1624|
49,3375|8,2233|
49,3376|8,1684|
49,3376|8,162|
49,3376|8,1971|
49,3376|8,1977|
49,3376|8,1995|
49,3376|8,1997|
49,3376|8,1999|
49,3376|8,215|
49,3376|8,2255|
49,3376|8,2235|
49,3376|8,1685|
49,3376|8,1622|
49,3376|8,1621|
49,3377|8,184|
49,3377|8,1981|
49,3377|8,1984|
49,3377|8,1987|
49,3377|8,199|
49,3377|8,2013|
49,3377|8,2255|
49,3377|8,224|
49,3377|8,2238|
49,3377|8,1619|
49,3377|8,1685|
49,3377|8,1618|
49,3377|8,1617|
49,3377|8,1992|
49,3378|8,1685|
49,3378|8,1617|
49,3378|8,1616|
49,3378|8,1615|
49,3378|8,1614|
49,3378|8,1836|
49,3378|8,2151|
49,3378|8,2244|
49,3378|8,2014|
49,3379|8,1614|
49,3379|8,1613|
49,3379|8,1612|
49,3379|8,1611|
49,3379|8,1832|
49,3379|8,2015|
49,3379|8,2256|
49,3379|8,2246|
49,3379|8,1685|
49,3379|8,1686|
49,338|8,1686|
49,338|8,161|
49,338|8,1609|
49,338|8,1608|
49,338|8,1685|
49,338|8,2151|
49,338|8,2255|
49,338|8,2251|
49,338|8,2248|
49,338|8,1611|
49,338|8,1607|
49,3381|8,1606|
49,3381|8,1607|
49,3381|8,1828|
49,3381|8,2017|
49,3381|8,2151|
49,3381|8,2253|
49,3381|8,1608|
49,3381|8,1686|
49,3381|8,1605|
49,3382|8,1606|
49,3382|8,2019|
49,3382|8,1686|
49,3382|8,1605|
49,3382|8,1604|
49,3383|8,1605|
49,3383|8,1686|
49,3383|8,1824|
49,3383|8,2151|
49,3383|8,1604|
49,3383|8,1687|
49,3384|8,1604|
49,3384|8,182|
49,3384|8,2021|
49,3384|8,2149|
49,3384|8,1687|
49,3384|8,1605|
49,3385|8,1687|
49,3385|8,1604|
49,3385|8,2023|
49,3385|8,2143|
49,3385|8,2147|
49,3386|8,1604|
49,3386|8,1687|
49,3386|8,1603|
49,3386|8,1816|
49,3386|8,2026|
49,3386|8,214|
49,3387|8,1688|
49,3387|8,1603|
49,3387|8,2028|
49,3387|8,2133|
49,3387|8,2137|
49,3387|8,1602|
49,3387|8,132|
49,3387|8,1319|
49,3387|8,1318|
49,3388|8,1602|
49,3388|8,1322|
49,3388|8,1319|
49,3388|8,1687|
49,3388|8,1321|
49,3388|8,132|
49,3388|8,1317|
49,3388|8,1812|
49,3388|8,2129|
49,3388|8,1688|
49,3388|8,1318|
49,3389|8,1602|
49,3389|8,1317|
49,3389|8,1323|
49,3389|8,2031|
49,3389|8,1688|
49,3389|8,1322|
49,3389|8,1601|
49,3389|8,2124|
49,339|8,1602|
49,339|8,1323|
49,339|8,1316|
49,339|8,1809|
49,339|8,2117|
49,339|8,2121|
49,339|8,1688|
49,339|8,1324|
49,339|8,1601|
49,339|8,1315|
49,3391|8,1688|
49,3391|8,1507|
49,3391|8,1506|
49,3391|8,1505|
49,3391|8,1504|
49,3391|8,1501|
49,3391|8,1499|
49,3391|8,1325|
49,3391|8,1602|
49,3391|8,1503|
49,3391|8,15|
49,3391|8,1324|
49,3391|8,1316|
49,3391|8,2035|
49,3391|8,211|
49,3391|8,1601|
49,3391|8,1502|
49,3391|8,1315|
49,3391|8,1689|
49,3391|8,2113|
49,3392|8,1602|
49,3392|8,1316|
49,3392|8,1498|
49,3392|8,1325|
49,3392|8,2038|
49,3392|8,1507|
49,3392|8,1689|
49,3392|8,1497|
49,3392|8,1326|
49,3392|8,1315|
49,3392|8,2106|
49,3393|8,1602|
49,3393|8,1508|
49,3393|8,1496|
49,3393|8,1326|
49,3393|8,1316|
49,3393|8,1603|
49,3393|8,1495|
49,3393|8,1327|
49,3393|8,1804|
49,3393|8,204|
49,3393|8,2099|
49,3393|8,2102|
49,3393|8,1328|
49,3393|8,1689|
49,3394|8,1689|
49,3394|8,1328|
49,3394|8,1317|
49,3394|8,1493|
49,3394|8,2043|
49,3394|8,2095|
49,3394|8,1602|
49,3394|8,1508|
49,3394|8,1494|
49,3394|8,1316|
49,3394|8,1603|
49,3395|8,1604|
49,3395|8,1508|
49,3395|8,1493|
49,3395|8,1492|
49,3395|8,1328|
49,3395|8,18|
49,3395|8,2087|
49,3395|8,2091|
49,3395|8,169|
49,3395|8,1689|
49,3395|8,1603|
49,3395|8,1316|
49,3395|8,1329|
49,3395|8,1317|
49,3396|8,1689|
49,3396|8,1491|
49,3396|8,133|
49,3396|8,1317|
49,3396|8,2046|
49,3396|8,208|
49,3396|8,2084|
49,3396|8,1605|
49,3396|8,1508|
49,3396|8,1492|
49,3396|8,1329|
49,3396|8,1318|
49,3396|8,1604|
49,3396|8,1316|
49,3397|8,1606|
49,3397|8,1509|
49,3397|8,149|
49,3397|8,133|
49,3397|8,1318|
49,3397|8,1605|
49,3397|8,1489|
49,3397|8,1798|
49,3397|8,2049|
49,3397|8,2074|
49,3397|8,169|
49,3397|8,1508|
49,3397|8,1317|
49,3397|8,1331|
49,3398|8,169|
49,3398|8,1488|
49,3398|8,1606|
49,3398|8,1508|
49,3398|8,1487|
49,3398|8,1331|
49,3398|8,1318|
49,3398|8,2052|
49,3398|8,207|
49,3398|8,1486|
49,3398|8,1317|
49,3398|8,1332|
49,3399|8,1607|
49,3399|8,1509|
49,3399|8,1485|
49,3399|8,1482|
49,3399|8,1479|
49,3399|8,1476|
49,3399|8,1332|
49,3399|8,1318|
49,3399|8,169|
49,3399|8,1484|
49,3399|8,1481|
49,3399|8,1478|
49,3399|8,1795|
49,3399|8,2055|
49,3399|8,2059|
49,3399|8,2063|
49,3399|8,2067|
49,3399|8,1691|
49,3399|8,1483|
49,3399|8,148|
49,3399|8,1475|
49,3399|8,1333|
49,3399|8,1319|
49,3399|8,1477|
49,3399|8,1317|
49,3399|8,1606|
49,34|8,1473|
49,34|8,147|
49,34|8,1333|
49,34|8,1608|
49,34|8,1509|
49,34|8,1467|
49,34|8,1463|
49,34|8,146|
49,34|8,169|
49,34|8,1607|
49,34|8,1471|
49,34|8,1469|
49,34|8,1465|
49,34|8,1462|
49,34|8,1459|
49,34|8,1318|
49,34|8,1477|
49,34|8,1472|
49,34|8,1468|
49,34|8,1398|
49,34|8,1397|
49,34|8,1691|
49,34|8,1466|
49,34|8,1334|
49,34|8,1474|
49,34|8,1464|
49,34|8,148|
49,34|8,1317|
49,34|8,1687|
49,34|8,1689|
49,3401|8,1691|
49,3401|8,1609|
49,3401|8,1455|
49,3401|8,1401|
49,3401|8,1399|
49,3401|8,1395|
49,3401|8,1393|
49,3401|8,1318|
49,3401|8,1457|
49,3401|8,1454|
49,3401|8,1402|
49,3401|8,14|
49,3401|8,1398|
49,3401|8,1396|
49,3401|8,1394|
49,3401|8,1334|
49,3401|8,1792|
49,3401|8,1608|
49,3401|8,1509|
49,3401|8,1458|
49,3401|8,1459|
49,3401|8,1456|
49,3401|8,1453|
49,3401|8,1678|
49,3401|8,1397|
49,3402|8,1452|
49,3402|8,1404|
49,3402|8,1403|
49,3402|8,1392|
49,3402|8,1318|
49,3402|8,1609|
49,3402|8,1451|
49,3402|8,1692|
49,3402|8,1509|
49,3402|8,1393|
49,3402|8,1391|
49,3402|8,1335|
49,3402|8,1691|
49,3402|8,1319|
49,3402|8,151|
49,3402|8,1453|
49,3402|8,145|
49,3402|8,1675|
49,3402|8,1676|
49,3402|8,1405|
49,3403|8,1691|
49,3403|8,161|
49,3403|8,151|
49,3403|8,1449|
49,3403|8,1446|
49,3403|8,1405|
49,3403|8,139|
49,3403|8,1335|
49,3403|8,1509|
49,3403|8,1448|
49,3403|8,1391|
49,3403|8,1336|
49,3403|8,1319|
49,3403|8,1789|
49,3403|8,1318|
49,3403|8,1406|
49,3403|8,1392|
49,3403|8,1447|
49,3403|8,1675|
49,3404|8,1443|
49,3404|8,1406|
49,3404|8,1389|
49,3404|8,1337|
49,3404|8,1319|
49,3404|8,1611|
49,3404|8,1445|
49,3404|8,1442|
49,3404|8,1692|
49,3404|8,151|
49,3404|8,144|
49,3404|8,161|
49,3404|8,1509|
49,3404|8,139|
49,3404|8,1407|
49,3404|8,1336|
49,3404|8,1444|
49,3404|8,1441|
49,3404|8,1318|
49,3404|8,1675|
49,3404|8,1691|
49,3405|8,1692|
49,3405|8,1611|
49,3405|8,151|
49,3405|8,144|
49,3405|8,1437|
49,3405|8,1434|
49,3405|8,1431|
49,3405|8,1426|
49,3405|8,1423|
49,3405|8,1407|
49,3405|8,1387|
49,3405|8,1319|
49,3405|8,1612|
49,3405|8,1438|
49,3405|8,1435|
49,3405|8,1427|
49,3405|8,1425|
49,3405|8,1337|
49,3405|8,1786|
49,3405|8,1432|
